date,time,close,atm_strike,month
04-12-2024,10:15:00,24542.95,24550,December
04-12-2024,10:30:00,24532.4,24550,December
04-12-2024,10:45:00,24520.7,24500,December
04-12-2024,11:00:00,24525.0,24500,December
04-12-2024,11:15:00,24533.0,24550,December
04-12-2024,11:30:00,24546.4,24550,December
04-12-2024,11:45:00,24541.55,24550,December
04-12-2024,12:00:00,24386.55,24400,December
04-12-2024,12:15:00,24452.25,24450,December
04-12-2024,12:30:00,24479.75,24500,December
04-12-2024,12:45:00,24448.95,24450,December
04-12-2024,13:00:00,24482.3,24500,December
04-12-2024,13:15:00,24486.1,24500,December
04-12-2024,13:30:00,24482.65,24500,December
04-12-2024,13:45:00,24510.45,24500,December
04-12-2024,14:00:00,24521.9,24500,December
04-12-2024,14:15:00,24532.0,24550,December
04-12-2024,14:30:00,24462.25,24450,December
04-12-2024,14:45:00,24467.85,24450,December
05-12-2024,09:45:00,24477.65,24500,December
05-12-2024,10:00:00,24432.7,24450,December
05-12-2024,10:15:00,24407.15,24400,December
05-12-2024,10:30:00,24406.6,24400,December
05-12-2024,10:45:00,24402.35,24400,December
05-12-2024,11:00:00,24340.75,24350,December
05-12-2024,11:15:00,24358.85,24350,December
05-12-2024,11:30:00,24349.9,24350,December
05-12-2024,11:45:00,24348.75,24350,December
05-12-2024,12:00:00,24367.95,24350,December
05-12-2024,12:15:00,24631.3,24650,December
05-12-2024,12:30:00,24605.25,24600,December
05-12-2024,12:45:00,24589.8,24600,December
05-12-2024,13:00:00,24589.7,24600,December
05-12-2024,13:15:00,24635.1,24650,December
05-12-2024,13:30:00,24596.05,24600,December
05-12-2024,13:45:00,24643.75,24650,December
05-12-2024,14:00:00,24667.2,24650,December
05-12-2024,14:15:00,24738.65,24750,December
05-12-2024,14:30:00,24813.55,24800,December
05-12-2024,14:45:00,24801.75,24800,December
06-12-2024,09:45:00,24711.05,24700,December
06-12-2024,10:00:00,24694.7,24700,December
06-12-2024,10:15:00,24649.35,24650,December
06-12-2024,10:30:00,24700.15,24700,December
06-12-2024,10:45:00,24722.25,24700,December
06-12-2024,11:00:00,24718.2,24700,December
06-12-2024,11:15:00,24695.7,24700,December
06-12-2024,11:30:00,24678.1,24700,December
06-12-2024,11:45:00,24685.2,24700,December
06-12-2024,12:00:00,24709.6,24700,December
06-12-2024,12:15:00,24693.6,24700,December
06-12-2024,12:30:00,24706.4,24700,December
06-12-2024,12:45:00,24711.05,24700,December
06-12-2024,13:00:00,24708.1,24700,December
06-12-2024,13:15:00,24709.85,24700,December
06-12-2024,13:30:00,24690.8,24700,December
06-12-2024,13:45:00,24692.7,24700,December
06-12-2024,14:00:00,24677.9,24700,December
06-12-2024,14:15:00,24694.5,24700,December
06-12-2024,14:30:00,24681.45,24700,December
06-12-2024,14:45:00,24681.7,24700,December
09-12-2024,09:45:00,24658.25,24650,December
09-12-2024,10:00:00,24622.2,24600,December
09-12-2024,10:15:00,24594.45,24600,December
09-12-2024,10:30:00,24613.6,24600,December
09-12-2024,10:45:00,24604.1,24600,December
09-12-2024,11:00:00,24616.2,24600,December
09-12-2024,11:15:00,24632.6,24650,December
09-12-2024,11:30:00,24676.05,24700,December
09-12-2024,11:45:00,24686.4,24700,December
09-12-2024,12:00:00,24676.2,24700,December
